num_chars_from,uppercase_percentage_from,date,content_type,content_transfer_encoding,num_chars_message_id,subject,body,label
24,57.14285714285714,2017-09-28 13:57:25,NULL,NULL,23,3,2,1
34,0.0,2015-01-02 13:18:53,text/html,8bit,NULL,2,2,1
34,0.0,2015-01-02 13:18:53,text/html,8bit,NULL,2,2,1
25,0.0,2015-01-03 22:43:12,multipart/alternative,NULL,NULL,2,2,1
25,0.0,2015-01-06 21:15:12,multipart/alternative,NULL,NULL,2,2,1
16,0.0,2015-01-15 10:52:56,text/html,7bit,NULL,3,2,1
24,0.0,2015-01-16 09:44:44,multipart/alternative,NULL,58,2,3,1
24,0.0,2015-01-16 10:27:37,multipart/alternative,NULL,58,2,3,1
17,0.0,2015-01-21 09:29:44,multipart/alternative,NULL,NULL,3,1,1
24,0.0,2015-01-22 22:55:57,text/html,base64,41,2,3,1
22,0.0,2015-01-24 00:28:44,multipart/alternative,NULL,NULL,2,1,1
22,0.0,2015-01-24 00:40:08,multipart/alternative,NULL,NULL,2,1,1
19,0.0,2015-01-24 09:51:42,text/html,quoted-printable,56,3,2,1
25,0.0,2015-01-28 14:44:26,multipart/alternative,NULL,NULL,3,3,1
26,0.0,2015-01-29 10:52:35,multipart/alternative,NULL,67,3,4,1
19,6.25,2015-01-29 16:22:36,text/html,base64,57,3,3,1
21,0.0,2015-02-01 22:25:45,multipart/alternative,NULL,NULL,3,3,1
16,0.0,2015-02-06 14:43:51,multipart/alternative,NULL,58,3,4,1
17,0.0,2015-02-07 19:59:23,text/html,base64,50,3,3,1
NULL,NULL,2015-02-08 15:27:35,multipart/mixed,NULL,NULL,3,3,1
28,0.0,2015-02-08 18:04:05,multipart/mixed,NULL,NULL,3,3,1
14,0.0,2015-02-11 09:59:25,multipart/mixed,NULL,43,2,1,1
20,0.0,2015-02-14 15:36:24,NULL,NULL,NULL,2,2,1
27,0.0,2015-02-17 23:16:41,multipart/alternative,NULL,36,1,3,1
14,0.0,2015-02-21 16:06:48,multipart/mixed,NULL,43,2,3,1
15,0.0,2015-03-05 15:11:00,text/html,7bit,NULL,3,3,1
18,12.5,2015-03-06 01:45:06,text/html,7bit,74,1,3,1
24,9.090909090909092,2015-03-06 20:06:51,multipart/alternative,NULL,59,3,3,1
18,0.0,2015-03-08 23:12:11,multipart/alternative,NULL,36,3,3,1
22,0.0,2015-03-09 08:16:35,multipart/alternative,NULL,36,3,3,1
29,0.0,2015-03-09 11:28:33,multipart/alternative,NULL,36,3,3,1
20,0.0,2015-03-09 12:30:34,multipart/alternative,NULL,36,3,3,1
18,0.0,2015-03-09 18:27:56,multipart/alternative,NULL,36,3,3,1
19,0.0,2015-03-09 19:18:28,multipart/alternative,NULL,36,1,3,1
18,0.0,2015-03-09 19:20:37,multipart/alternative,NULL,36,3,3,1
22,0.0,2015-03-10 15:32:51,multipart/alternative,NULL,36,3,3,1
20,0.0,2015-03-11 09:10:43,NULL,NULL,NULL,3,3,1
21,0.0,2015-03-11 16:19:54,multipart/alternative,NULL,36,2,3,1
21,0.0,2015-03-11 16:19:54,multipart/alternative,NULL,36,3,3,1
27,0.0,2015-03-12 08:06:16,multipart/alternative,NULL,36,3,3,1
20,0.0,2015-03-12 09:41:18,NULL,NULL,NULL,3,3,1
18,0.0,2015-03-12 18:54:04,multipart/alternative,NULL,48,2,3,1
21,5.555555555555555,2015-03-12 21:22:28,multipart/alternative,NULL,36,3,5,1
19,0.0,2015-03-12 22:54:25,multipart/alternative,NULL,36,2,5,1
34,0.0,2015-03-16 05:15:34,multipart/alternative,NULL,41,3,3,1
17,0.0,2015-03-16 13:40:20,multipart/alternative,NULL,NULL,1,4,1
24,0.0,2015-03-16 14:49:57,multipart/alternative,NULL,34,3,3,1
23,0.0,2015-03-18 16:44:10,multipart/alternative,NULL,50,3,2,1
21,15.789473684210526,2015-03-20 14:27:24,multipart/alternative,NULL,73,3,4,1
17,0.0,NULL,multipart/mixed,NULL,26,3,3,1
20,0.0,2015-03-21 12:57:14,text/html,quoted-printable,63,2,3,1
16,0.0,2015-03-20 05:45:06,text/html,8bit,48,4,2,1
17,0.0,2015-03-26 19:07:20,text/plain,quoted-printable,NULL,2,4,1
24,0.0,2015-04-07 08:22:00,multipart/mixed,NULL,50,3,1,1
26,0.0,2015-04-07 15:15:17,multipart/mixed,NULL,37,3,3,1
24,0.0,2015-04-09 02:15:25,multipart/alternative,NULL,66,3,4,1
24,0.0,2015-04-09 02:15:32,multipart/alternative,NULL,66,3,3,1
19,11.76470588235294,2015-04-09 05:22:34,multipart/alternative,NULL,63,1,3,1
20,0.0,2015-04-10 13:11:46,multipart/alternative,NULL,NULL,3,3,1
18,0.0,2015-04-10 16:16:42,text/html,NULL,NULL,3,3,1
30,0.0,2015-04-16 15:10:53,multipart/alternative,NULL,70,3,2,1
34,24.137931034482758,2015-04-18 05:47:02,multipart/mixed,NULL,NULL,2,3,1
27,0.0,2015-04-20 01:56:21,multipart/mixed,NULL,35,2,3,1
27,0.0,2015-04-20 02:26:35,multipart/mixed,NULL,35,3,3,1
27,0.0,2015-04-20 02:49:26,multipart/mixed,NULL,35,2,3,1
27,0.0,2015-04-20 02:58:10,multipart/mixed,NULL,35,3,3,1
17,0.0,2015-04-23 10:29:51,multipart/alternative,NULL,66,3,4,1
20,0.0,2015-04-23 16:52:23,multipart/mixed,NULL,NULL,2,2,1
29,0.0,2015-04-24 09:00:16,text/html,8bit,35,2,3,1
24,23.809523809523807,2015-04-25 03:41:30,NULL,NULL,NULL,1,3,1
16,0.0,2015-04-26 13:38:52,multipart/alternative,NULL,59,2,4,1
26,0.0,2015-04-26 21:22:40,text/html,7bit,NULL,3,3,1
21,0.0,2015-04-28 13:19:20,multipart/alternative,NULL,NULL,2,4,1
25,13.043478260869565,2015-04-29 17:00:34,multipart/alternative,NULL,NULL,3,3,1
23,0.0,2015-05-01 21:27:07,multipart/alternative,NULL,49,2,4,1
